name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
"Bandambi,Turakapalli Bollaram",0018-08-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000405EFF4334A15340A83BCB03C38A314010D83F4E44A1534054506587C58A31400015803748A1534084877E70C48A31407033308649A15340E9E280D3A88A3140E051602052A153407FCC4F9FA98A3140C0145D3C54A15340AAECBBB4A98A31402025FBEF5AA15340381289BE928A314080577CED55A153407CDB08CC608A314050F9812947A1534077FDB0C75D8A314090F93C5F42A153403FD5B1C75D8A3140400DFFB33CA153406560F1F6608A3140F020013336A153402DF39AD7688A3140405EFF4334A15340A83BCB03C38A3140,16,133,278,68,66,0,0,24,1,43,278,0,21,0,0,13,7,27,15,53,0,4238,3932,24309,7,2,0,59,23,30
Kotha basthi,0022-03-05 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000703C0376B7A0534096F4C51837863140482502F6CDA053407D91F1A45C86314030A50450CEA053404FE9A2197286314090B5021AD7A0534036F1E57073863140D0AEFF7FF8A053407FDC151EDD843140A02FFE59E2A053408745DBD31E85314068B0FC3BD3A05340EE4210738B85314000A0FE71CAA053407D8A0C40DD853140703C0376B7A0534096F4C51837863140,16,133,556,130,92,73,71,41,0,18,520,36,95,0,0,0,35,0,83,45,2,5796,5572,30738,96,6,5,23,12,
Boi Guda,0022-09-08 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000100000007045FF0D6D9E5340432EECAE2D573140B0C304DA829E53401AFF788E4C573140103DFFC9A19E5340675F9A9E875731403858FFE7B09E53400C83C7F1225731404063FC87B69E53408ABF79B3FE563140C0A500A4B89E534048DDEFCCDB563140304205A8A59E5340E40D931DD956314048FE81EEA29E534058D6CB29E0563140F8A57EDE949E5340A0AF51BDD25631404814FF1C8B9E53407DC1B865D1563140008FFB98879E5340E70AE701C95631403879FCA47B9E53403FDD48F2BF563140C0B77E347B9E5340C59A3EF9C3563140E015FCDA729E53402A56B744BE563140B0CA02DE6F9E53409D6B8C770D5731407045FF0D6D9E5340432EECAE2D573140,4,26,793,197,197,0,8,1,0,188,793,0,57,11,2,6,102,19,101,93,3,3360,3366,0,18,3,0,176,19,
Laxmi Nagar,0026-12-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C00000000000024759E5340F528E4723C573140000000C0609E5340A1EB083F1E573140000000A45E9E5340A70BCC1739573140000000C35D9E5340AB4C2E48555731400000005E599E53408FB0CDAF9157314000000036639E5340A97E14FD8C573140000000F8649E534003CA0E23A3573140000000956D9E5340F78B3D77A25731400000000E6D9E5340654EA3D3745731400000000E6D9E5340263E8BF053573140000000F7749E5340ECB5B9445357314000000024759E5340F528E4723C573140,4,26,374,94,89,1,2,6,0,86,372,2,45,1,0,0,48,0,69,25,0,4087,3998,255,0,2,0,92,0,
Shiva Ganga Nagar,0025-10-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F000000000080326E9E5340B4EC5421A2573140000080F46F9E534063808226A557314000008089719E5340E117F23CB2573140000000C47A9E534071B74FE5B0573140000080258A9E5340CD759494B35731400000008A969E5340094B0C85AA5731400000006E949E5340F02AA14887573140000080418C9E5340F63EA2E67F573140000000858C9E5340AAE217B1605731400000003F879E53402D6274F75757314000008094759E5340CEF7CCC83C573140000000F7749E534098F1D0EE52573140000080516D9E5340B058D19F56573140000000956D9E5340076C8AED83573140000080326E9E5340B4EC5421A2573140,4,26,863,223,182,4,6,18,3,196,820,43,95,0,0,1,126,1,202,17,4,4091,4197,16686,5,8,12,198,24,
Ekalavya nagar(Gopal nagar),0029-05-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A0000003077E4DF6DA0534056B9E0FB7A863140B82CFC8B65A05340DFD90ABFF985314000BDFCA16DA0534080E5B3DCF085314090C7834775A05340B531389DE285314020D5A3A67DA053403C18F6B0FE853140F0DB031483A0534094F4BB981286314050DF83CA88A053402E10813127863140B8E2439585A05340B39EBC7930863140F02CB44F79A05340F74928AD538631403077E4DF6DA0534056B9E0FB7A863140,16,133,930,224,138,9,19,53,50,102,685,245,118,1,0,0,104,1,119,98,7,4870,4126,37891,12,15,15,182,16,
"Ekalavya nagar,Weaker Section",0031-01-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000600726D088A05340CD10CE1627863140F0DA3A7283A05340A257A8DA13863140A04A7AD67DA0534018DACE31FF8531409813282075A053400937951CE2853140181947597DA053405F3AD65AD2853140504C525786A053401805E2F1C4853140D89F27128AA05340181E5E84E785314020F7830D91A053407DFEA46F0C863140600726D088A05340CD10CE1627863140,16,133,133,36,36,0,1,0,23,12,133,0,22,0,0,0,14,0,17,18,1,5250,3792,43889,8,1,0,27,2,
"Karkhana,Machabollaram",0030-10-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B0000000000002257A05340DC42FBDFD58531400000001F5AA05340D3DF722ED1853140000000765DA05340A6577660F3853140000000EC5FA053404E0D3A06F08531400000000862A053405D65B1EEDF8531400000004066A0534025CF84F7E58531400000003D69A0534031C8DDE5D9853140000000946CA05340E608383AD98531400000002761A05340D78066C78A8531400000009052A053401F607293A18531400000002257A05340DC42FBDFD5853140,16,133,359,83,74,18,17,63,3,0,290,69,64,0,0,0,18,1,68,12,3,5130,3940,59554,14,0,1,68,3,
"Shivalayam Nagar, Jonna Bandha",0029-10-01 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000080000000000001933A053403EB9516481853140000000C43CA053409790E2AC788531400000008134A0534097F37382218531400000001429A05340B6019A4B36853140000000DC24A05340FE4C4DF434853140000000C829A05340DBA8BA7D58853140000000302BA0534037A6ABB8808531400000001933A053403EB9516481853140,16,133,734,149,125,4,14,86,27,22,662,72,104,1,2,0,40,2,121,3,25,4334,3845,61101,6,2,5,136,10,
Jaya Prakash Nagar,0032-01-02 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A000000000000C47A9E53401E34C342195831400000005B899E53403EACA12A0B583140000000B5899E53401A4706710258314000000022959E534017643B63FA57314000000003969E534060A1ED94E5573140000080338B9E53408821053FE5573140000080258A9E534070E5E3C4CF57314000000005769E5340C280F232DE573140000000D5789E53403B8872D60B583140000000C47A9E53401E34C34219583140,4,42,558,146,129,2,13,18,5,110,386,172,111,0,0,1,27,7,121,25,0,2708,3455,0,1,17,7,121,145,
Om Nagar,0033-02-01 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E00000000000015849E53408D51F934115831400000001D8B9E5340E674EF17325831400000008E839E53400DE56DF750583140000000CA749E534096A519078C583140000000006C9E53401F23E7D66F58314000000006669E53408E9D5ABB5F5831400000001A619E5340AE190F4F52583140000000A45E9E53409A4C218B43583140000080095B9E534084B7C69115583140000000F26A9E5340FF3DB9D40A58314000000092709E5340E7443276055831400000006D779E5340D7836768FD573140000000977A9E534016D1649A1A58314000000015849E53408D51F93411583140,4,42,636,139,87,0,1,92,1,45,396,240,134,0,0,0,5,0,133,4,2,3068,3815,32928,7,8,4,120,138,
"Katika, Macha Bollaram",0041-12-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000307804DCD8A053406ACB6F873C843140F8B681B7D7A053408EDE36742F843140F8F97B6BD8A053405D8D681227843140F8B681B7D7A053407B1F3F021C843140500A1C9ED8A053401F02DC6609843140909A1CC2E1A053405B62442609843140204D799DE2A0534036D1214F16843140A04508F2E0A053400ADC15551A84314060CB010EE3A0534006A3501E2F843140A0F3CFE3E2A053400D85952B38843140C089F6D2E2A053402516001143843140007B0217DAA05340D5747FED47843140307804DCD8A053406ACB6F873C843140,16,133,450,112,93,5,7,12,0,93,395,55,76,10,0,0,25,1,88,20,4,4377,3830,39223,76,1,1,34,20,
"Telugu Basti, Macha Bollaram",0046-06-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F000000D84985CAE2A0534071ADB49445843140D84985CAE2A05340F54E81A34F843140784F8140E5A05340E9D2224F50843140D090010BE6A05340F5AFD5B35A843140D09BFEAAEBA053409E6469AF57843140D09BFEAAEBA05340F5ED2C934484314050E28453F0A05340A91E1FE34084314060AB9034F0A05340EEB00D050184314040FBBBEBEAA053408D5AE53203843140D0F643C7E9A05340A52F638E0E843140C027C6C7E1A053409047F45B0984314040ECAC9AE2A05340975A674416843140002801F2E0A053407C33AA3F1A843140902AC402E3A05340CAC043492F843140D84985CAE2A0534071ADB49445843140,16,133,301,73,69,3,11,9,0,53,275,26,49,0,0,0,23,1,45,28,0,4178,3418,83452,2,3,6,62,5,
Aliabad,0045-10-04 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E00000000000008199E5340A299611B34583140000000F62A9E53402A9AA0AB24583140000000BA399E53406DA9260A2A58314000000038439E5340B1D26B3813583140000000FB349E5340C280F232DE573140000000AF359E534048028C09C65731400000007C3B9E5340EFBFC199B6573140000000E43C9E5340A7EC7F88AC573140000000983D9E5340F78B3D77A25731400000003E3D9E5340E22B43518C573140000000A4319E53404641E26C9C573140000000CA1A9E5340EA133BD9A95731400000804C099E5340A22E78FDBE57314000000008199E5340A299611B34583140,4,42,1633,421,313,9,14,51,4,352,1633,0,76,105,2,2,236,0,296,117,8,3952,4019,0,14,32,7,368,11,
"Karkhana,Machabollaram",0047-08-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001000000050F80182D8A053405BE4E83B09843140A08802A6E1A053405BE4E83B098431404099FBBBE9A0534016F71F990E843140D05804F7EAA053408D5AE53203843140F8E3FE3CF0A05340B2CE003001843140F0F6FFF5FAA053408B12BA6CF0833140C8E6FC77F1A053409B438CB6AE83314000A4FD0FF0A05340C63898B0AA833140689E5167EEA05340A7DA37745683314020D6B3EEE8A0534056914B215883314048B8A3E0E8A05340A75C1C4A5C833140689A43F7E6A053404D3B07F06C833140907C73B9E5A0534072ABDCE277833140B05EE3B3E4A05340F66F9B008383314038E7A29DE0A053404E85C20DB083314050F80182D8A053405BE4E83B09843140,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pakeer Wadi,0045-12-01 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000000000DC359E5340C280F232DE57314000000009369E5340B18BA164C9573140000000D9389E534067E331FFBF573140000000E43C9E5340CB4F383BB1573140000000C53D9E53401631F629A7573140000000E6499E5340FF0D9B1FA15731400000002F4C9E534067E331FFBF5731400000003A509E53405905B7BFCC57314000000072549E5340E186C3DEDE5731400000009F549E5340EBE0206AFE573140000000BE539E53409B6343820C583140000000C1509E53407318E5D90D583140000000D24E9E53401A4706710258314000000057429E53406DFEE258F4573140000000D63B9E5340CDEFB304F5573140000000DC359E5340C280F232DE573140,4,42,369,79,69,1,9,4,1,65,369,0,47,0,11,0,21,0,64,15,0,3686,3544,0,3,1,0,75,2,
Kummara Basthi,0047-03-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001400000020D6F380E9A05340769EE0133283314058002EC2E6A053401769254B34833140902A2893DFA05340BC609DF63C833140007F9CE5DCA05340B897C72441833140E0278509D1A05340FB183FFB53833140E81F41C9C9A05340C687C9316383314000EB7CC0CEA053400282BE567C833140304C6074D1A0534063D69D587683314060ADE31CD6A0534003C6BEE59483314038108152D3A053406BE651249B83314010738EE4D6A05340A04B685DB383314090F8DC65D8A05340C1934F64BF833140F0FD5D1FDBA053405B4565C2D383314058035F87DCA053409EB77E06C883314000D1FD83E5A05340FD25B1BD79833140501600DBE8A0534048D2C13C5C833140488EA634E9A05340AE2ED1885083314040068DC6E9A05340D8ED9D554583314038F659DCE9A053401C1D701C3F83314020D6F380E9A05340769EE01332833140,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gyanodhaya Sangam,0048-02-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E000000D0A1FB66D79E5340833A73AC65563140D05E0175D89E5340A39FDB116F563140501CFD58D69E53403ED1F1A863563140E816FC2ED39E5340A69C2FF65E563140D856FD5BD39E53407B2CE0123E563140E047FB40EE9E53404EBF3C4B2D563140404DFC6AF19E534021DC8DD34A563140D07CFFCDE89E5340E0FAC97B49563140F8B1FEA6E29E5340BA1050864F563140F0B90220E29E534070745D4A5E5631401032FC41DE9E53407A7ADA4D60563140C0A9FFCBDB9E5340408C70AC65563140606104A2D89E53409CA00B666E563140D0A1FB66D79E5340833A73AC65563140,4,27,533,117,116,17,4,54,1,58,393,140,91,0,0,0,26,0,70,35,12,4154,3906,2564,1,1,1,114,27,
Ambedkar Nagar khajaguda,0048-04-04 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000700000020D4C33916A053402E0745B202843140C04C8376FB9F5340F4ADA677CC83314058C5025CE19F53406861BEBA94833140A84DFF2BE49F5340E739B86A7B833140F8D5FB17E99F5340AEA507915B833140005F036F19A05340ACDB3DCBBC83314020D4C33916A053402E0745B202843140,16,132,855,216,214,1,24,105,6,81,853,2,148,0,2,0,65,1,164,2,50,5329,5098,348,19,4,47,146,59,
Banoday Sangam,0048-08-02 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000000000B0D99E5340DC1A447DAD56314000000056D99E53406713C84C91563140000000FCD89E53406D3C87697056314000000007DD9E53403E7C17FD62563140000000F3E19E534040D1CD4D6056314000000066E79E534067604F14A256314000000050DF9E5340707034B99E563140000000B0D99E5340DC1A447DAD563140,4,27,414,107,100,8,11,86,0,10,249,165,72,3,0,0,32,0,26,68,13,4606,4218,21243,1,4,4,98,22,
Krishna Reddy Nagar,0049-06-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000011000000000000FBE89E5340017E4BDFB4563140000000C0E79E5340171598C3A456314000000039E79E534022A5EB099C5631400000002BE69E53404951C8817E5631400000001DE59E5340B40F1AC8755631400000000FE49E534012B4AA5B685631400000005BE39E53405ED30139545631400000001AE89E5340550E242B4C563140000000D6EF9E534011889B2E4E563140000000F2F19E534039F1D2B036563140000000A70F9F5340E29523F58F5631400000007D0C9F5340AC317D68A1563140000000BE079F534022A5EB099C56314000000013FE9E5340903E620D9E5631400000000EF49E5340FF950EC7A6563140000000C8EE9E5340AE24D5DBB2563140000000FBE89E5340017E4BDFB4563140,4,27,1231,278,277,26,12,132,0,134,1229,2,152,22,0,2,102,0,126,133,19,3682,3576,0,4,1,0,273,82,
Kranthi Nagar,0053-03-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D0000000000004D0F9F53403294712BE1563140000000F30E9F534061A373FEC6563140000000D40F9F5340CBF671D1AC563140000000AA0C9F5340AC317D68A15631400000007A0F9F534039519AF8915631400000003C119F534030DFB4BD6F5631400000005B109F5340E740F40A6B563140000000CB189F53404E81E2116F563140000000EF219F5340AB5E757074563140000000E1209F5340080C90619D5631400000000E219F534061A373FEC656314000000087209F5340ACFE991DD95631400000004D0F9F53403294712BE1563140,4,27,208,51,51,0,0,39,1,11,208,0,45,0,0,0,6,0,49,2,0,3404,3482,0,0,0,0,51,9,
Parvathi Nagar,0054-02-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C000000000000D8FC9E5340B9C0A69055563140000000B3039F5340341C849E5D56314000000053099F53405D50FE6C725631400000003F0E9F53409967DA7A7A5631400000005B109F53400F381D6039563140000000C90B9F534058A0880134563140000000D70C9F534018F2BE1A11563140000000A8FF9E5340BEDD81CD155631400000009AFE9E5340AE5807331F563140000000CDF89E534079F751E22156314000000073F89E5340328C07D048563140000000D8FC9E5340B9C0A69055563140,4,27,849,205,169,5,6,86,101,12,808,41,75,7,13,1,68,41,108,87,10,3686,3656,46678,6,17,38,144,1,
Kothabasti Alwal,0057-12-12 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000000000005137A05340E4A1961FEB7F3140000000854EA05340C30A8C10E17F31400000005551A053406529D352D47F3140000000E548A053403C50D34F607F31400000003E2CA0534002B1C53A8B7F31400000005137A05340E4A1961FEB7F3140,16,132,317,79,52,8,7,67,0,5,215,102,63,0,0,1,0,15,55,1,23,5495,5184,57,0,5,1,73,21,
"Kothabasti, Venkat Rao pet",0058-03-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000E0439D114FA05340EED02E24B57F3140B00BE5AB56A05340DDE1204FB57F31404051023058A05340980E8401D77F3140182700F763A05340DE81CF49CE7F314058E4008F62A0534076E4C42EBC7F3140B059FCE05BA053401FFAAC3AC47F3140B851F8C756A05340D0AF52E68B7F3140009FFE375FA05340E9A70F8F8A7F314020D1048A58A05340DBD5922B487F3140007673ED48A0534008C64B65607F314078E9E9644AA053404F3D1A2F757F3140F05C50FB4BA05340C3A531648A7F3140E0439D114FA05340EED02E24B57F3140,16,132,603,144,76,3,9,107,1,27,319,284,89,14,1,0,38,2,32,104,8,3606,2630,686,1,0,0,143,144,
Kothabasti Alwal Weaker section,0058-08-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000006882D2402CA053402170D00F8B7F31404033C4D948A05340498EBE4F607F3140A05D015C3BA053400F074B6D907E31404097FB4713A053401B53452BD67E3140B024FE301BA0534041F2EFAFF57E314088E401B81BA05340B4B065012C7F31406882D2402CA053402170D00F8B7F3140,16,132,517,126,76,12,9,102,0,15,363,154,104,0,0,0,0,22,106,4,16,5357,5127,41,2,9,8,107,25,
Venkatpuram Old Village,0058-06-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A0000001014051B13A0534028CFA37FD57E314020C102CA09A053407181C7DFA37E3140F0CB04970FA0534092ED86BE8D7E31406091043A12A053404186C60C897E314058D880B516A053403E880558827E3140600D412523A053403549C905687E31407042013E2CA05340449482B04B7E314028C501D32DA05340C64E78094E7E3140D09DFDD43AA05340EB922F70927E31401014051B13A0534028CFA37FD57E3140,16,132,717,187,185,5,9,75,7,96,609,108,183,0,1,1,0,2,187,0,0,2118,1051,0,159,1,1,26,185,
Venkatpuram Old Village,0059-06-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000000000009322A05340B6954632697E31400000807F1FA053402085B9C2577E3140000080AF1CA05340D1B9EB074D7E31400000006C1CA0534005E07DA7457E31400000005524A053404978E634327E3140000080A328A05340858EDC69557E31400000009322A05340B6954632697E3140,16,132,961,240,167,16,35,116,2,87,957,4,65,48,3,0,122,2,176,57,7,3810,4280,9,3,6,2,229,34,
Harijan Basthi(old alwal),0004-09-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E00000030F8359112A053401BBCD43BA17F3140A0EF5E431AA053409C024876E87F314020DCE8981EA053409C5A71B3388031406864A960F09F5340A6C50D337580314060B20143DC9F5340AA78E9473F803140702B84D5D89F53409B51DAB851803140E015802DCC9F53402C26783BA9803140785614A7C19F5340B5FCC0559E80314080E08508D39F53400A0920CE268031404061F4A2D79F5340A246BE9EF17F314010436106D99F53407F8A8096F07F314088E7CF2BDC9F534064D3C6E8EB7F3140105E1EDFDC9F53409A1AD3D9EA7F314030F8359112A053401BBCD43BA17F3140,16,133,330,81,78,0,3,75,0,3,300,30,71,0,0,0,10,0,62,10,9,4962,4719,14691,56,3,1,21,25,
Rajiv Gandhi Nagar,0009-09-16 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001F0000005028FB7CCEA0534053633A5BDD8131408001AC44CFA05340EB078E2EE38131403876D4C1CFA05340628C82BFE381314040FF8F76D0A05340CDB83EE6E2813140B06C7BF5D0A0534081D1E5CDE181314038D452EDD1A053402E71C373DF81314058CB63EED6A053406002D8FCCF81314020A0BAA0DBA05340C1F99A06C1813140D0D3FBBEE6A0534067395CED59813140D090010BE6A0534059D0C5F022813140880B0EEFE2A0534075ED4F811881314030682174E0A053402CDEECB91A813140D0C424BEDDA05340483E65BB1B813140107E4B3EDBA05340F72F3FEC1F813140C8B9DFA0D9A053400C707B852281314080F56341D7A053400493995A228131407865FE6ECDA05340275AC9F928813140A8620034CCA05340C0A9F6864E813140D097FF0CC6A05340F7568750638131405007049DBDA0534098EB7E5F6D81314068F6500DC1A053400912A1327A813140107CFB29C4A053400B9E5B4B75813140401B4ED3C6A053403114669071813140088959D4CCA05340A66F046F69813140E098A621CDA05340463A0B947781314098DCEE06CDA053402B5B5627888131407865FE6ECDA05340ECC760A49B81314008ABFB11D0A053407B21B282BE8131400006412ECEA05340D65F6523C681314010755070CEA05340F36D87A7D38131405028FB7CCEA0534053633A5BDD813140,16,132,1287,266,249,219,234,7,0,25,976,311,1,0,117,0,147,1,82,3,181,4815,4725,0,23,18,33,192,80,
"Kummari Basti, Lothukunta",0010-08-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B00000000000083C8A05340F0F4F7F7B37E3140000000A7D1A0534010B1D47C0C7F314000000083C8A05340FCD28210367F31400000003AC6A0534006066AFE297F3140000000E6BFA053400688FC971E7F314000000016BDA05340B1DD80280D7F31400000008FBCA0534028CE4D07F77E314000000092B9A053405D0CAB61FA7E3140000000D6B1A05340FA67CAB8C27E314000000010C3A0534041774F76967E314000000083C8A05340F0F4F7F7B37E3140,16,132,533,132,102,14,31,35,2,64,487,46,70,8,2,0,51,1,113,17,2,4395,4032,30918,4,5,14,109,48,
Golla Guda,0008-11-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A0000007806058C0BA05340B39B53A8F27C314060C13D3207A05340BEE87E3AC67C31401014451812A053401D21DFA2B67C3140D056048314A053408091E1C2CB7C314000A2FD9B19A053407B96736BCA7C3140B8E1037D1AA05340389813D5D77C3140D099FE3615A053401D28C7CF0C7D3140D08E01970FA05340F5A7A687157D3140D08E01970FA05340AC1A63ABF47C31407806058C0BA05340B39B53A8F27C3140,16,132,162,36,36,1,3,31,0,2,143,19,36,0,0,0,0,0,3,8,25,2808,2542,186,1,2,0,33,2,
Khanajiguda Village,0012-10-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F0000000000004BB69F534034C5A977D27C31400000002BC79F53400385D4FEBA7C314000000036CB9F534015E7128CA77C3140000000D6D09F534043AA6CA4B77C3140000000A6D39F5340EBE70F4DB67C3140000000A3D69F53403C77371ACD7C3140000000CBCC9F5340F096B83EE57C31400000001AC99F53404C243CDEDD7C31400000000FC59F5340A4001596E67C3140000000B2C79F534059DB4066FF7C314000000075B99F5340C35CC58D197D3140000000B3B79F53407DA0E40EFE7C314000000024B09F5340AB139DBD007D31400000008FAE9F5340AA9D9BF9EF7C31400000004BB69F534034C5A977D27C3140,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Subash Nagar,0045-01-01 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E000000D8250571F99F53405C276872B57B314050D803B5F19F53401B1871E8CA7B3140A073017900A053404B16DE82F87B31400871FE89FE9F5340FE8A88A40E7C314058BE04FA06A05340FA8C76A2457C314088C6035F0BA053401385334B447C3140D08E01970FA05340820C15CA5F7C31402017FEA113A053403F0EB5336D7C3140705C00D120A05340BCB054D9697C3140005F03C022A053406C15621B5D7C3140309FFFE718A053406263F444407C3140705C00F916A05340D3957CAA127C314060CCFA200DA053403D14FD88FC7B3140D8250571F99F53405C276872B57B3140,16,132,1497,388,364,4,14,260,5,109,1489,8,206,1,1,0,145,35,286,60,42,4327,4827,10414,341,4,2,41,69,
"Ashok Nagar, Subash Nagar",0048-10-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E0000001057CFA413A05340C3913B496D7C3140501FFD0618A053408B10E4C1927C31401075FD2724A05340E10B93A9827C314000B5FE5424A0534015081246797C3140307A030628A053402A8BE33C737C3140A0BAFACA26A05340468FA5306B7C3140C002FB5C2BA05340678ED57B647C3140180503002EA05340B10D260F557C31406882026B2CA05340A20EE9BF207C3140305CE50917A053409D746DD5127C31401062DCF818A05340DCEDF944407C314028F5DAD022A053405310D0305D7C3140802F00D120A053400F779ACE697C31401057CFA413A05340C3913B496D7C3140,16,132,730,193,156,2,15,113,1,64,692,38,126,0,0,0,66,1,100,68,25,3898,2544,12145,54,34,4,101,23,
